customer_id,churn,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,charges_monthly,charges_total,cuentas_diarias
0040-HALCW,0,Male,0.0,1,1,54.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1090.6,0.68
0042-JVWOJ,0,Male,0.0,0,0,26.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,0.65
0042-RLHYP,0,Female,0.0,1,1,69.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,0.66
0048-LUMLS,0,Female,0.0,1,0,49.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,900.9,0.68
0048-PIHNL,0,Male,0.0,1,0,66.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),115.8,7942.15,3.86
0052-DCKON,0,Female,0.0,0,0,67.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,0.68
0052-YNYOT,0,Male,0.0,1,1,20.0,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),39.4,825.4,1.31
0056-EPFBG,0,Female,0.0,0,1,43.0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,1070.15,0.84
0057-QBUQH,0,Female,0.0,1,0,55.0,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,2.99
0058-EVZWM,0,Female,0.0,1,0,59.0,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.75,5597.65,3.16
0060-FUALY,0,Female,0.0,1,1,12.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,224.5,0.68
0064-SUDOG,0,Male,0.0,1,1,27.0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.52
0064-YIJGF,0,Male,1.0,0,0,2.0,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.25,91.1,1.64
0067-DKWBL,1,Female,0.0,0,0,27.0,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,78.2,2078.95,2.61
0068-FIGTF,0,Male,0.0,1,1,25.0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,630.6,0.85
0071-NDAFP,0,Male,0.0,1,1,25.0,1,No,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),61.6,1611.0,2.05
0074-HDKDG,0,Male,0.0,0,1,29.0,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,45.0,1242.45,1.5
0076-LVEPS,0,Male,0.0,1,0,72.0,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,6316.2,2.84
0078-XZMHT,0,Female,0.0,0,0,14.0,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),51.45,727.85,1.72
0080-EMYVY,0,Female,0.0,0,0,35.0,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,99.25,3532.0,3.31
0080-OROZO,0,Male,0.0,0,0,1.0,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.3,44.3,1.48
0082-LDZUE,0,Male,0.0,0,0,29.0,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,2607.6,3.14
0082-OQIQY,0,Male,0.0,0,0,64.0,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,81.25,5567.55,2.71
0083-PIVIK,0,Female,0.0,1,1,39.0,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,3767.4,3.33
0089-IIQKO,0,Female,1.0,0,0,40.0,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,3673.6,3.05
0093-EXYQL,0,Male,0.0,0,0,40.0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,4036.85,3.48
0093-XWZFY,1,Female,1.0,0,0,11.0,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,3.17
0094-OIFMO,1,Female,0.0,1,0,6.0,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,314.55,1.68
0096-BXERS,0,Male,0.0,0,0,30.0,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,64.5,1888.45,2.15
0096-FCPUF,0,Male,0.0,0,0,27.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,529.8,0.65
0098-BOWSO,0,Male,1.0,1,0,70.0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,104.8,7308.95,3.49
0100-DUVFC,0,Female,0.0,1,0,57.0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.4,6252.7,3.65
0103-CSITQ,0,Male,0.0,1,0,58.0,1,No,DSL,No,No,Yes,No,No,No,One year,0,Credit card (automatic),50.3,2878.55,1.68
0104-PPXDV,0,Male,0.0,0,0,16.0,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,2.38
0106-GHRQR,0,Female,0.0,1,0,69.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,8182.85,3.87
0106-UGRDO,0,Male,0.0,0,0,1.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85,0.66
0107-WESLM,1,Male,0.0,0,1,1.0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.75,99.75,3.32
0107-YHINA,1,Male,1.0,1,1,32.0,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.95,2861.45,3.13
0111-KLBQG,0,Male,0.0,1,1,16.0,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,3.03
0112-QAWRZ,0,Male,0.0,1,0,49.0,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,84.35,4059.35,2.81
0112-QWPNC,1,Female,0.0,1,0,71.0,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,4145.9,1.94
0114-IGABW,0,Female,0.0,0,0,33.0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,107.55,3645.5,3.58
0114-PEGZZ,0,Female,0.0,1,0,10.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,187.75,0.66
0114-RSRRW,0,Male,0.0,1,0,21.0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.2,2317.1,3.71
0115-TFERT,1,Male,0.0,1,1,37.0,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1.34
0117-LFRMW,1,Female,1.0,0,0,26.0,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.8,2193.65,2.86
0118-JPNOY,0,Male,0.0,0,0,50.0,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,35.4,1748.9,1.18
0121-SNYRK,0,Female,0.0,1,1,61.0,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,88.1,5526.75,2.94
0122-OAHPZ,1,Male,0.0,0,0,15.0,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.35,1553.95,3.38
0123-CRBRT,0,Female,0.0,0,1,26.0,0,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,45.8,1147.0,1.53
0125-LZQXK,1,Male,0.0,1,0,72.0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.65,6747.35,3.16
0128-MKWSG,0,Male,0.0,1,1,44.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,865.05,0.68
0129-KPTWJ,0,Male,0.0,0,0,66.0,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),89.4,5976.9,2.98
0129-QMPDR,0,Female,0.0,0,0,2.0,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,86.25,181.65,2.88
0130-SXOUN,0,Female,1.0,0,0,44.0,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),74.85,3268.05,2.49
0133-BMFZO,1,Female,0.0,0,0,12.0,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,2.99
0134-XWXCE,0,Male,1.0,1,0,69.0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.95,7634.25,3.66
0135-NMXAP,1,Female,0.0,0,0,1.0,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,80.2,80.2,2.67
0136-IFMYD,0,Female,0.0,0,0,3.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,63.75,0.66
0137-OCGAB,1,Female,0.0,1,0,2.0,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,90.35,190.5,3.01
0137-UDEUO,1,Female,1.0,0,0,27.0,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,2.88
0139-IVFJG,0,Male,0.0,0,0,26.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,511.25,0.68
0141-YEAYS,0,Female,1.0,1,0,39.0,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.25,3949.15,3.38
0142-GVYSN,0,Male,0.0,0,0,25.0,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,3.16
0147-ESWWR,0,Female,0.0,0,0,1.0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.9,70.9,2.36
0148-DCDOS,1,Male,0.0,1,0,22.0,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,54.2,1152.7,1.81
0151-ONTOV,1,Female,0.0,0,0,72.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.9,8496.7,3.83
0156-FVPTA,1,Female,0.0,1,0,19.0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,86.85,1564.4,2.9
0164-APGRB,0,Male,1.0,1,0,33.0,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,3.66
0164-XAIRP,0,Female,0.0,0,0,3.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,58.0,0.66
0168-XZKBB,0,Male,0.0,1,1,47.0,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,87.2,4017.45,2.91
0174-QRVVY,0,Male,0.0,1,1,62.0,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,108.15,6825.65,3.6
0177-PXBAT,0,Male,0.0,0,0,71.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),116.3,8309.55,3.88
0178-CIIKR,0,Male,1.0,1,0,7.0,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.0,605.45,2.97
0178-SZBHO,0,Female,0.0,1,1,27.0,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,74.4,1972.35,2.48
0181-RITDD,0,Male,0.0,0,0,2.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,33.7,0.67
0186-CAERR,0,Female,0.0,0,1,25.0,0,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),35.05,844.45,1.17
0187-QSXOE,0,Male,1.0,0,0,30.0,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,2.49
0187-WZNAB,0,Female,1.0,1,0,58.0,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),105.5,6205.5,3.52
0188-GWFLE,0,Male,0.0,1,0,10.0,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.25,855.3,2.84
0191-EQUUH,0,Female,0.0,0,0,9.0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.2,633.85,2.51
0191-ZHSKZ,0,Female,1.0,1,0,6.0,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.35,474.9,2.81
0193-ESZXP,1,Female,0.0,1,1,69.0,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,0,Bank transfer (automatic),84.45,5848.6,2.82
0195-IESCP,1,Female,1.0,0,0,66.0,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),102.4,6471.85,3.41
0196-JTUQI,0,Female,0.0,0,0,70.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.55,8127.6,3.85
0196-VULGZ,1,Male,0.0,0,0,25.0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,676.35,0.84
0197-PNKNK,0,Female,0.0,1,1,46.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,864.2,0.64
0201-MIBOL,0,Female,0.0,1,0,54.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,114.65,6049.5,3.82
0201-OAMXR,1,Female,0.0,0,0,15.0,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,105.1,1582.75,3.5
0203-HHYIJ,1,Female,0.0,1,1,12.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,198.1,0.65
0206-OYVOC,0,Female,0.0,0,0,22.0,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,50.35,1098.85,1.68
0206-TBWLC,0,Female,0.0,1,0,70.0,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),57.8,4039.3,1.93
0207-MDKNV,1,Male,0.0,0,0,30.0,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.3,2438.6,2.81
0208-BPQEJ,0,Male,0.0,1,1,71.0,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),100.55,7113.75,3.35
0212-ISBBF,0,Male,0.0,1,0,30.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,576.65,0.66
0214-JHPFW,0,Male,0.0,1,1,4.0,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,371.9,2.83
0215-BQKGS,0,Male,0.0,0,0,2.0,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,85.85,167.3,2.86
0218-QNVAS,0,Male,0.0,0,1,10.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,219.5,0.66
0219-QAERP,0,Male,1.0,0,0,4.0,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,75.35,273.4,2.51
0219-YTZUE,1,Male,1.0,0,0,52.0,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),48.8,2555.05,1.63
0220-EBGCE,1,Male,0.0,0,0,5.0,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,47.15,223.15,1.57
0221-NAUXK,0,Male,0.0,1,1,8.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,165.5,0.67
0221-WMXNQ,0,Female,1.0,0,0,2.0,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.3,89.3,1.48
0222-CNVPT,0,Male,0.0,0,0,3.0,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,84.3,235.05,2.81
0224-HJAPT,1,Male,0.0,0,0,19.0,1,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,59.55,1144.6,1.98
0224-NIJLP,0,Male,0.0,0,0,72.0,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.65,4908.25,2.32
0224-RLWWD,0,Male,1.0,1,0,63.0,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),36.1,2298.9,1.2
0225-ZORZP,0,Male,0.0,1,0,66.0,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),56.6,3789.2,1.89
0228-MAUWC,0,Male,0.0,0,0,1.0,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,75.9,75.9,2.53
0229-LFJAF,0,Female,0.0,0,0,60.0,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,1,Bank transfer (automatic),79.2,4765.0,2.64
0230-UBYPQ,0,Female,0.0,1,1,48.0,0,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),45.0,2196.3,1.5
0230-WEQUW,0,Female,0.0,0,0,1.0,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),85.55,85.55,2.85
0231-LXVAP,1,Male,0.0,0,0,15.0,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.35,1444.65,3.11
0233-FTHAV,0,Female,0.0,1,0,50.0,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,3.66
0234-TEVTT,0,Male,0.0,1,1,72.0,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.7,6339.3,2.99
0235-KGSLC,1,Female,0.0,0,0,46.0,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,84.25,3847.6,2.81
0236-HFWSV,1,Female,0.0,1,1,72.0,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.65,6733.0,3.09
0237-YFUTL,0,Male,0.0,1,1,1.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,19.7,0.66
0238-WHBIQ,0,Female,0.0,0,0,1.0,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.1,50.1,1.67
0239-OXEXL,0,Female,1.0,0,0,67.0,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),92.45,6140.85,3.08
0244-LGNFY,0,Female,0.0,1,1,48.0,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,79.65,3870.3,2.66
0247-SLUJI,0,Female,0.0,0,0,72.0,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.9,7624.2,3.66
0248-IPDFW,0,Male,0.0,1,0,52.0,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),81.4,4354.45,2.71
0248-PGHBZ,0,Female,0.0,1,1,67.0,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),50.55,3431.75,1.68
0253-ZTEOB,0,Female,0.0,1,1,28.0,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,81.05,2227.1,2.7
0254-FNMCI,0,Female,0.0,1,1,32.0,1,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,2.08
0254-KCJGT,0,Female,1.0,1,0,27.0,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,2.51
0254-WWRKD,0,Male,0.0,0,0,3.0,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Electronic check,90.4,268.45,3.01
0256-LTHVJ,1,Male,0.0,0,0,2.0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.65,181.5,2.86
0257-KXZGU,0,Female,0.0,0,1,9.0,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,72.9,651.4,2.43
0257-ZESQC,1,Male,0.0,1,1,50.0,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),70.5,3486.65,2.35
0258-NOKBL,0,Female,0.0,1,1,71.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.1,1389.6,0.67
0259-GBZSH,1,Male,1.0,1,0,32.0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,2303.35,2.5
0260-ZDLGK,1,Female,0.0,1,1,16.0,1,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,3.36
0263-FJTQO,0,Female,0.0,1,1,67.0,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.65,6717.9,3.52
0264-CNITK,0,Male,0.0,1,1,72.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),114.3,8058.55,3.81
